Date,Close/Last,Volume,Open,High,Low
04/22/2021,$719.69,35590260,$741.5,$753.77,$718.04
04/21/2021,$744.12,31215510,$704.77,$744.84,$698
04/20/2021,$718.99,35609040,$717.42,$737.25,$710.685
04/19/2021,$714.63,39686230,$719.6,$725.4,$691.8001
04/16/2021,$739.78,27979530,$728.65,$749.41,$724.6
04/15/2021,$738.85,27848900,$743.1,$743.69,$721.31
04/14/2021,$732.23,49017430,$770.7,$780.79,$728.03
04/13/2021,$762.32,44652810,$712.7,$763,$710.66
04/12/2021,$701.98,29135670,$685.7,$704.8,$682.09
04/09/2021,$677.02,21437090,$677.77,$680.97,$669.43
04/08/2021,$683.8,23924330,$677.38,$689.5499,$671.645
04/07/2021,$670.97,26309430,$687,$691.38,$667.84
04/06/2021,$691.62,28271840,$690.3,$696.55,$681.37
04/05/2021,$691.05,41842770,$707.71,$708.16,$684.7
04/01/2021,$661.75,35298380,$688.37,$692.4203,$659.42
03/31/2021,$667.93,33337290,$646.62,$672,$641.11
03/30/2021,$635.62,39432360,$601.75,$637.66,$591.01
03/29/2021,$611.29,28636990,$615.64,$616.48,$596.02
03/26/2021,$618.71,33852830,$641.87,$643.82,$599.89
03/25/2021,$640.39,39224850,$613,$645.5,$609.5
03/24/2021,$630.27,33795170,$667.91,$668.02,$630.11
03/23/2021,$662.16,30491870,$675.77,$677.8,$657.51
